GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coverage/vip-api,fr.insalyon.creatis.vip.api.security,ApiSecurityConfig.CurrentUserProvider,9,44,2,6,4,15,2,6,0,4
coverage/vip-api,fr.insalyon.creatis.vip.api.security,VipAuthenticationEntryPoint,68,11,8,0,18,4,6,1,2,1
coverage/vip-api,fr.insalyon.creatis.vip.api.security,ApiSecurityConfig,29,221,2,2,9,44,5,8,3,8
coverage/vip-api,fr.insalyon.creatis.vip.api.security,EgiSecurityConfig,0,62,0,0,0,26,0,5,0,5
coverage/vip-api,fr.insalyon.creatis.vip.api.security.keycloak,PathBasedKeycloakConfigResolver,34,8,2,0,9,2,2,1,1,1
coverage/vip-api,fr.insalyon.creatis.vip.api.security.keycloak,SpringKeycloakPrincipal,11,0,0,0,4,0,2,0,2,0
coverage/vip-api,fr.insalyon.creatis.vip.api.security.keycloak,VipKeycloakAuthenticationProvider,83,14,2,0,23,5,2,1,1,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller.data,DataController,265,14,0,0,36,5,9,1,9,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,EgiController,116,14,6,0,26,5,5,1,2,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,PlatformController,2,169,1,3,1,35,1,6,0,5
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,ApiKeyController.KeyInfo,17,0,0,0,7,0,5,0,5,0
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,RegisterUserController,53,11,0,0,12,4,1,1,1,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,RefreshTokenController,22,6,2,0,5,3,2,1,1,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,ApiKeyController,94,14,2,0,23,5,5,1,4,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,ExternalPlatformController,17,11,0,0,4,4,1,1,1,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,ApiController,9,41,0,2,1,8,1,5,1,4
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,RestExceptionHandler,133,8,2,0,28,2,9,1,8,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller,AuthenticationController,77,14,2,0,11,5,4,1,3,1
coverage/vip-api,fr.insalyon.creatis.vip.api.security.apikey,ApikeyAuthenticationToken,66,0,2,0,20,0,7,0,6,0
coverage/vip-api,fr.insalyon.creatis.vip.api.security.apikey,SpringApiPrincipal,17,21,2,0,5,7,6,5,5,5
coverage/vip-api,fr.insalyon.creatis.vip.api.security.apikey,ApikeyAuthenticationProvider,183,23,10,0,46,7,8,3,3,3
coverage/vip-api,fr.insalyon.creatis.vip.api.security.apikey,ApikeyAuthenticationFilter,58,44,1,1,17,14,1,3,0,3
coverage/vip-api,fr.insalyon.creatis.vip.api.exception,ApiException,15,9,0,0,6,4,3,2,3,2
coverage/vip-api,fr.insalyon.creatis.vip.api.exception,ApiException.ApiError,9,274,0,0,3,34,3,3,3,3
coverage/vip-api,fr.insalyon.creatis.vip.api.business,DataApiBusiness,1161,41,63,0,275,12,71,1,39,1
coverage/vip-api,fr.insalyon.creatis.vip.api.business,VipConfigurer,9,69,1,5,2,23,1,7,0,5
coverage/vip-api,fr.insalyon.creatis.vip.api.business,KeycloakBusiness,81,11,4,0,22,4,3,1,1,1
coverage/vip-api,fr.insalyon.creatis.vip.api.business,StatsApiBusiness,311,18,8,0,75,6,21,1,17,1
coverage/vip-api,fr.insalyon.creatis.vip.api.business,PipelineBusiness,408,69,33,3,84,18,30,2,12,2
coverage/vip-api,fr.insalyon.creatis.vip.api.business,ApiBusiness,116,14,4,0,28,5,7,1,5,1
coverage/vip-api,fr.insalyon.creatis.vip.api.business,ExecutionBusiness,874,89,84,6,202,22,60,5,15,3
coverage/vip-api,fr.insalyon.creatis.vip.api.business,ApiUserBusiness,90,17,2,0,23,6,4,1,3,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller.processing,ExecutionController,318,14,10,0,53,5,17,1,12,1
coverage/vip-api,fr.insalyon.creatis.vip.api.controller.processing,PipelineController,74,27,2,0,16,6,5,2,4,2
coverage/vip-api,fr.insalyon.creatis.vip.api.controller.processing,PublicationController,17,11,0,0,4,4,1,1,1,1
coverage/vip-api,fr.insalyon.creatis.vip.api.security.egi,EgiSecurityClientConfig,0,87,0,0,0,18,0,3,0,3
coverage/vip-api,fr.insalyon.creatis.vip.api.controller.stats,StatsController,305,11,2,0,41,4,16,1,15,1
coverage/vip-api,fr.insalyon.creatis.vip.api.model,ExistsApiResponse,16,0,0,0,8,0,4,0,4,0
coverage/vip-api,fr.insalyon.creatis.vip.api.model,Pipeline,45,0,0,0,17,0,9,0,9,0
coverage/vip-api,fr.insalyon.creatis.vip.api.model,AuthenticationInfo,17,0,0,0,7,0,5,0,5,0
coverage/vip-api,fr.insalyon.creatis.vip.api.model,Execution,138,0,2,0,54,0,28,0,27,0
coverage/vip-api,fr.insalyon.creatis.vip.api.model,ExecutionStatus,132,0,4,0,16,0,6,0,4,0
coverage/vip-api,fr.insalyon.creatis.vip.api.model,SignUpUserDTO,62,30,0,0,27,11,18,1,18,1
coverage/vip-api,fr.insalyon.creatis.vip.api.model,UploadDataType,39,0,0,0,5,0,3,0,3,0
coverage/vip-api,fr.insalyon.creatis.vip.api.model,AuthenticationCredentials,17,0,0,0,7,0,5,0,5,0
coverage/vip-api,fr.insalyon.creatis.vip.api.model,PlatformProperties,12,82,0,0,6,34,3,24,3,24
coverage/vip-api,fr.insalyon.creatis.vip.api.model,PathProperties,52,0,0,0,22,0,15,0,15,0
coverage/vip-api,fr.insalyon.creatis.vip.api.model,SupportedTransferProtocol,4,78,0,0,1,9,1,2,1,2
coverage/vip-api,fr.insalyon.creatis.vip.api.model,DeleteExecutionConfiguration,10,0,0,0,4,0,3,0,3,0
coverage/vip-api,fr.insalyon.creatis.vip.api.model,UploadData,24,0,0,0,10,0,7,0,7,0
coverage/vip-api,fr.insalyon.creatis.vip.api.model,ErrorCodeAndMessage,17,15,0,0,8,6,4,3,4,3
coverage/vip-api,fr.insalyon.creatis.vip.api.model,PipelineParameter,42,0,0,0,15,0,8,0,8,0
coverage/vip-api,fr.insalyon.creatis.vip.api.model,ParameterType,72,0,2,0,3,0,3,0,2,0
